T (years),Return level,RL p2.5,RL p97.5
2,0.034709807565975186,0.02662756657313059,0.05854347254991357
5,0.057694283567035674,0.03978187421945924,0.06961591680498018
10,0.08520020673203851,0.045429358728905286,0.10720897547128004
20,0.12744905388655298,0.0474706561800767,0.17856057713512086
30,0.16220811441299798,0.047705947197515475,0.24199969987619346
