T (years),Return level,RL p2.5,RL p97.5
2,4477.007879302451,4472.388522663152,11743.151927891942
5,17206.444042687654,4472.788264552519,152251.53709417494
10,2416855.1735454123,4473.698326755513,23493694.55636004
20,369032229.43158275,4476.400924541852,3799383772.0177617
30,6665199897.794449,4480.022750016255,73908364383.49272
