T (years),Return level,RL p2.5,RL p97.5
2,0.09142489780511825,0.07817539428814686,0.11555856016967565
5,0.1338983411926184,0.09319051278480407,0.14096809255540124
10,0.18779194861840662,0.10112555559859011,0.20223239952354533
20,0.27460398390041896,0.10722567163175867,0.30463367426771254
30,0.34861065796373514,0.108367591391513,0.39386991942439187
