T (years),Return level,RL p2.5,RL p97.5
2,1974.0395551693261,191.54831413164646,2769.7627802487505
5,4995.48307550606,192.67969941671043,216670.92788865016
10,8693.48577822183,197.16406494506595,54765779.79546767
20,14478.10797055324,216.42446637705294,32506864902.290264
30,19302.614012408176,249.80245755610017,1227627161314.1921
